"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Yone","Middle",127,"4.1%","6.3%","11.1%","59%","70%",464,292,607,3.7,"63.6%","20.0%","9%",108,98,2.7,9.3,"28.5%",522,"23.1%","25.0%",0.31,0.24
"Yone","Top",20,"0.7%","6.3%","11.1%","55%","80%",63,61,93,2.6,"57.4%","24.1%","25%",152,115,4.8,9.2,"30.3%",511,"23.6%","25.7%",0.35,0.17
"Yuumi","Support",345,"11.3%","16.5%","27.8%","49%","38%",203,511,3173,6.6,"83.4%","13.1%","12%",-115,122,-8,0.2,"0.8%",256,"12.3%","8.8%",1.38,0.13
"Zac","Jungle",7,"0.2%","0.0%","0.4%","43%","100%",15,17,38,3.1,"63.9%","19.8%","14%",-201,-156,-9,5.1,"15.4%",258,"12.7%","16.3%",0.35,0.38
"Zac","Support",2,"0.1%","0.0%","0.4%","50%","100%",4,4,8,3,"38.7%","28.6%","0%",240,225,0,1.4,"4.5%",189,"9.0%","9.4%",1.22,0.27
"Zac","Top",1,"0.0%","0.0%","0.4%","100%","100%",2,5,10,2.4,"60.0%","33.3%","0%",174,168,3,5,"14.9%",423,"15.8%","13.7%",0.2,0.2
"Zed","Jungle",8,"0.3%","0.1%","0.4%","50%","88%",33,22,38,3.2,"57.7%","16.8%","0%",-59,174,-4.5,6.5,"23.2%",363,"16.3%","20.0%",0.47,0.43
"Zeri","ADC",835,"27.3%","39.5%","66.8%","53%","31%",3722,1550,3793,4.8,"73.3%","16.4%","10%",-16,-30,0.7,10.2,"34.3%",609,"29.8%","28.6%",0.45,0.54
"Zeri","Middle",2,"0.1%","39.5%","66.8%","50%","50%",13,0,6,19,"82.6%","0.0%","0%",438,199,11,10.9,"40.4%",833,"44.2%","30.5%",0.46,0.59
"Ziggs","ADC",56,"1.8%","2.6%","4.7%","48%","88%",167,130,304,3.6,"66.8%","16.3%","4%",-73,63,-3.1,9,"29.5%",731,"34.9%","24.8%",0.37,0.21
"Ziggs","Middle",6,"0.2%","2.6%","4.7%","83%","33%",26,7,46,10.3,"75.8%","11.3%","17%",431,279,1.8,8.4,"25.6%",930,"34.5%","27.1%",0.49,0.14
"Zilean","Middle",27,"0.9%","1.5%","2.7%","70%","70%",49,30,239,9.6,"77.0%","11.9%","19%",-135,39,-5.3,8,"22.5%",331,"17.3%","20.2%",0.41,0.15
"Zilean","Support",9,"0.3%","1.5%","2.7%","22%","100%",3,23,39,1.8,"76.4%","18.3%","11%",-111,171,4.6,1.2,"2.7%",85,"5.2%","8.8%",1.68,0.42
"Zoe","Middle",74,"2.4%","2.1%","4.5%","45%","62%",213,132,338,4.2,"64.4%","14.2%","8%",92,44,0,7.8,"22.8%",529,"27.6%","21.9%",0.41,0.24
"Zyra","Support",1,"0.0%","0.0%","0.0%","0%","100%",3,6,8,1.8,"84.6%","27.3%","100%",241,440,-10,0.9,"4.1%",506,"21.7%","10.1%",1.41,0.49
